Days,Relation
1815,9.6468
1816,9.6462
1817,9.7053
1818,9.6285
1819,9.613
1820,9.7018
1821,9.7158
1822,9.7652
1823,9.6944
1824,9.741
1825,9.7861
1826,9.8769
1827,9.8412
1828,9.7928
1829,9.7473
1830,9.7348
1831,9.7335
1832,9.764
1833,9.8402
1834,9.9512
1835,9.9668
1836,9.9292
1837,9.8643
1838,9.7747
1839,9.7713
1840,9.7854
1841,9.8388
1842,9.8488
1843,9.8267
1844,9.8543
1845,9.899
1846,9.9193
1847,9.9109
1848,9.9187
1849,9.9789
1850,10.0154
1851,10.0086
1852,9.9621
1853,9.9605
1854,9.9511
1855,9.9654
1856,10.0023
1857,9.9674
1858,9.9658
1859,10.0116
1860,10.0628
1861,10.2265
1862,10.3578
1863,10.2425
1864,10.2565
1865,10.1667
1866,10.1767
1867,10.2299
1868,10.1573
1869,10.1248
1870,10.1398
1871,10.184
1872,10.2154
1873,10.1575
1874,10.2048
1875,10.2195
1876,10.1592
1877,10.1084
1878,10.0683
1879,10.0757
1880,9.9988
1881,9.9842
1882,9.9383
1883,9.9723
1884,10.0079
1885,9.9468
1886,9.9816
1887,10.0003
1888,10.1593
1889,10.2263
1890,10.1552
1891,10.1992
1892,10.182
1893,10.2099
1894,10.1698
1895,10.2428
1896,10.2953
1897,10.3334
1898,10.3447
1899,10.2787
1900,10.2092
